sea_state,vessel_load,port_congestion,engine_efficiency,crew_experience,route_distance_nm,voyage_disruption,extra_fuel_cost_usd
Calm,Medium,Medium,86,Experienced,2031,0,5713.16
Rough,Medium,High,97,Experienced,745,0,2605.94
Moderate,Light,Low,78,Experienced,1015,0,2657.32
Moderate,Medium,Medium,71,Low,3323,1,25007.42
Calm,Medium,Medium,94,Low,1118,0,3069.91
Calm,Medium,High,95,Low,2451,1,28710.04
Calm,Medium,High,87,Experienced,3089,0,9118.26
Rough,Medium,Low,78,Experienced,725,0,2316.44
Moderate,Medium,Medium,75,Low,1424,1,28393.45
Moderate,Heavy,Low,80,Experienced,1864,0,5138.88
Calm,Heavy,Medium,94,Low,2986,1,26441.3
Rough,Heavy,Low,98,Low,1149,1,14783.57
Moderate,Heavy,Low,75,Experienced,1845,0,6445.61
Calm,Light,Low,75,Low,1429,0,3911.78
Calm,Light,Medium,82,Experienced,2002,0,7071.42
Calm,Light,Low,80,Experienced,2301,0,6194.94
Calm,Medium,Medium,83,Experienced,3116,0,9778.12
Moderate,Heavy,Medium,71,Low,576,1,22757.43
Calm,Light,Low,77,Experienced,3436,0,12447.13
Calm,Heavy,High,72,Experienced,2106,1,18210.1
Moderate,Light,Low,92,Experienced,3247,0,12411.9
Calm,Heavy,Medium,90,Low,2535,1,30901.24
Calm,Medium,Medium,72,Low,2239,1,16462.25
Calm,Light,Low,70,Low,2452,0,8387.73
Calm,Medium,Low,93,Low,845,0,2223.68
Moderate,Light,Low,88,Experienced,2727,0,8419.08
Calm,Light,High,87,Experienced,409,0,1460.12
Moderate,Medium,Medium,86,Experienced,844,0,2944.83
Moderate,Heavy,Medium,89,Low,2701,1,18044.25
Calm,Medium,Medium,98,Experienced,1042,0,3046.61
Moderate,Medium,Low,93,Low,2664,0,8170.59
Calm,Medium,Medium,82,Experienced,1589,0,4217.87
Calm,Heavy,High,72,Experienced,2175,1,20699.34
Rough,Light,Low,99,Experienced,1388,0,4519.1
Rough,Medium,Low,70,Experienced,632,0,2251.91
Moderate,Light,Low,73,Low,1836,0,5275.59
Calm,Light,Medium,94,Experienced,1456,0,4348.57
Calm,Medium,High,82,Experienced,891,0,2674.18
Moderate,Light,Low,86,Experienced,1082,0,2746.78
Calm,Medium,Medium,97,Experienced,839,0,2526.71
Calm,Heavy,Low,99,Experienced,3082,0,11418.68
Calm,Light,High,80,Low,1858,0,7145.77
Calm,Medium,Low,71,Experienced,1819,0,5961.46
Rough,Light,Medium,94,Low,2968,1,24553.38
Calm,Heavy,Medium,85,Experienced,918,0,2337.45
Moderate,Medium,Medium,71,Experienced,3256,1,32699.73
Calm,Heavy,Medium,98,Low,2133,0,5374.13
Moderate,Medium,Low,88,Experienced,1291,0,5057.01
Moderate,Light,Low,92,Low,2446,0,7909.93
Calm,Medium,Low,88,Experienced,2664,0,8026.37
Rough,Heavy,Low,94,Experienced,2470,0,9599.23
Moderate,Medium,Medium,85,Experienced,3146,0,7980.1
Rough,Heavy,Low,91,Experienced,1916,0,6461.02
Rough,Heavy,Low,88,Experienced,1818,0,6041.94
Moderate,Light,Medium,78,Experienced,2804,0,7932.46
Rough,Light,High,70,Experienced,821,1,19732.22
Calm,Medium,Medium,79,Experienced,2867,0,9972.56
Calm,Medium,Low,88,Experienced,1216,0,4366.29
Calm,Heavy,Low,70,Low,1016,0,2541.09
Calm,Heavy,High,71,Low,2662,1,33283.05
Calm,Medium,Low,85,Low,3056,0,8394.18
Calm,Light,Low,81,Experienced,3057,0,8713.58
Moderate,Heavy,Medium,77,Experienced,2236,1,16148.1
Calm,Light,Medium,92,Experienced,3391,0,8669.87
Calm,Heavy,Medium,87,Experienced,859,0,2306.05
Moderate,Medium,Low,71,Low,1268,0,5046.04
Calm,Medium,Low,94,Low,2703,0,8035.55
Moderate,Light,High,98,Experienced,1377,0,3680.65
Calm,Medium,Low,82,Experienced,1189,0,3163.32
Rough,Medium,Medium,75,Experienced,1092,0,3908.48
Moderate,Medium,Medium,90,Experienced,2612,0,9878.2
Calm,Light,Medium,95,Experienced,1281,0,3696.23
Calm,Heavy,Low,75,Experienced,1101,0,2787.03
Moderate,Heavy,Low,78,Experienced,342,0,969.45
Moderate,Light,Medium,85,Experienced,1909,0,4934.33
Moderate,Light,High,80,Low,3209,1,28561.7
Moderate,Light,High,76,Experienced,2077,0,6536.86
Calm,Medium,Low,100,Experienced,649,0,1846.33
Calm,Medium,Low,79,Experienced,1867,0,6112.41
Calm,Medium,High,79,Low,1429,1,25801.16
Rough,Light,Medium,99,Experienced,3259,0,12745.32
Moderate,Medium,High,94,Experienced,2348,0,9060.73
Calm,Medium,Low,89,Low,2080,0,6968.44
Calm,Medium,Medium,87,Experienced,883,0,2676.93
Calm,Heavy,Medium,97,Low,731,0,2245.43
Calm,Light,Medium,93,Low,2232,0,6958.88
Moderate,Medium,Medium,89,Low,2400,1,23907.61
Moderate,Medium,Low,98,Low,3287,0,10444.31
Rough,Medium,Medium,78,Experienced,2867,1,34870.98
Calm,Heavy,Low,100,Low,1648,0,6453.8
Calm,Medium,Medium,84,Low,3485,1,22005.08
Moderate,Heavy,High,73,Low,2494,1,22073.64
Moderate,Light,Low,100,Low,2330,0,6157.22
Moderate,Light,High,77,Low,1489,1,23996.77
Moderate,Heavy,Low,78,Experienced,1462,0,4561.73
Calm,Medium,Medium,82,Low,2976,1,23860.91
Moderate,Light,High,78,Experienced,598,0,2281.27
Calm,Light,Low,95,Experienced,2239,0,6129.1
Calm,Light,Low,73,Low,1088,0,3463.64
Calm,Heavy,Medium,86,Experienced,1149,0,3916.42
Calm,Light,Low,85,Low,2525,0,8932.93
Moderate,Medium,Medium,84,Low,3189,1,23085.13
Calm,Light,High,72,Low,1677,1,22215.2
Moderate,Medium,Medium,94,Low,1477,0,4951.61
Rough,Light,Low,89,Experienced,2249,0,7105.18
Calm,Medium,Medium,74,Experienced,1177,0,3061.21
Calm,Light,Medium,92,Low,1438,0,4597.34
Moderate,Heavy,Low,74,Experienced,1877,0,7003.28
Calm,Light,Medium,89,Low,3106,0,10628.15
Calm,Medium,Medium,84,Experienced,3439,0,12890.21
Calm,Heavy,Medium,87,Low,2792,1,31735.28
Calm,Medium,Low,84,Low,3055,0,8180.35
Rough,Medium,Medium,71,Low,2949,1,29989.68
Moderate,Medium,Low,98,Low,1946,0,5750.1
Moderate,Medium,Low,82,Experienced,2203,0,7814.01
Rough,Medium,High,73,Experienced,1682,1,29097.98
Moderate,Heavy,Medium,79,Low,444,1,12735.11
Calm,Medium,Low,82,Experienced,2622,0,8504.41
Rough,Medium,Low,79,Experienced,2856,0,8944.07
Moderate,Heavy,Low,98,Experienced,1502,0,4679.91
Moderate,Medium,Low,100,Low,3100,0,8825.77
Rough,Light,Low,78,Experienced,2161,0,5844.55
Calm,Medium,Low,77,Experienced,2154,0,6020.5
Calm,Heavy,Medium,72,Experienced,2824,1,24135.79
Calm,Light,Medium,85,Experienced,2166,0,6058.73
Calm,Medium,Medium,100,Low,3475,0,8735.46
Moderate,Light,Medium,83,Low,1398,0,4810.36
Rough,Medium,Low,78,Experienced,1451,0,4316.09
Calm,Light,High,99,Experienced,2034,0,8054.06
Moderate,Medium,High,90,Low,3013,1,25440.63
Calm,Heavy,High,80,Experienced,867,0,2617.25
Calm,Medium,High,72,Experienced,2113,0,6416.68
Calm,Medium,High,74,Experienced,830,0,2085.52
Calm,Heavy,Medium,98,Experienced,2506,0,9419.58
Rough,Heavy,Low,79,Experienced,1861,1,16001.96
Calm,Light,Medium,82,Low,980,0,3832.06
Moderate,Medium,Medium,73,Experienced,2370,0,9096.32
Moderate,Light,Medium,93,Low,1370,0,4525.5
Calm,Heavy,Medium,82,Low,2872,1,21715.51
Rough,Heavy,Low,81,Low,1028,1,23398.55
Rough,Medium,Low,74,Low,2029,1,21211.1
Calm,Heavy,High,79,Low,2491,1,31543.18
Calm,Medium,Medium,97,Low,967,0,2482.44
Calm,Medium,Medium,93,Experienced,1912,0,4935.01
Calm,Light,Low,78,Low,980,0,3122.13
Calm,Heavy,Low,89,Experienced,1272,0,4228.68
Moderate,Light,High,76,Low,3146,1,26445.56
Moderate,Heavy,Medium,71,Experienced,2432,1,23554.64
Calm,Heavy,High,91,Experienced,2763,1,33219.13
Calm,Heavy,Medium,93,Low,3041,1,32072.88
Rough,Light,Medium,97,Experienced,2829,0,8744.79
Calm,Medium,Low,92,Experienced,2803,0,8338.65
Calm,Light,Medium,76,Experienced,1126,0,3490.86
Calm,Medium,Medium,77,Experienced,596,0,1624.54
Rough,Light,Medium,76,Experienced,3483,1,36314.9
Calm,Heavy,Medium,90,Experienced,1553,0,5749.93
Moderate,Medium,High,92,Experienced,3467,1,31322.36
Moderate,Medium,Low,98,Low,3297,0,10668.83
Calm,Medium,High,83,Experienced,3027,0,11421.33
Moderate,Medium,Low,95,Experienced,2725,0,9698.51
Calm,Medium,Medium,88,Experienced,2768,0,8956.37
Moderate,Medium,Low,74,Low,2452,0,7077.8
Moderate,Heavy,Low,92,Experienced,2028,0,7761.95
Moderate,Medium,Medium,100,Experienced,2324,0,7821.49
Calm,Heavy,Low,94,Low,629,0,1781.15
Moderate,Heavy,Medium,100,Experienced,2786,0,8089.65
Calm,Light,High,87,Experienced,1455,0,5390.34
Calm,Heavy,Low,89,Experienced,2190,0,5620.02
Calm,Light,High,81,Experienced,681,0,2715.92
Moderate,Heavy,Medium,92,Low,2485,1,18647.03
Moderate,Medium,Medium,86,Experienced,3290,0,12153.6
Calm,Heavy,Low,82,Experienced,1142,0,3531.25
Moderate,Heavy,Low,71,Low,2617,1,25117.6
Calm,Heavy,Low,94,Low,695,0,2655.58
Moderate,Heavy,Low,82,Experienced,3260,0,10169.14
Calm,Medium,Low,95,Low,2811,0,9293.84
Moderate,Light,Medium,76,Low,749,0,1927.89
Calm,Medium,High,97,Experienced,1654,0,4140.82
Rough,Light,High,79,Low,2286,1,15759.24
Calm,Medium,Medium,92,Experienced,1608,0,5661.57
Calm,Medium,Low,75,Low,1597,0,4282.99
Calm,Heavy,Low,72,Experienced,2367,0,6321.41
Rough,Medium,Low,95,Experienced,2586,0,8059.12
Rough,Heavy,Low,72,Low,1593,1,29244.53
Calm,Light,Medium,87,Experienced,2765,0,9865.82
Moderate,Heavy,Medium,80,Low,3402,1,27326.61
Moderate,Heavy,Low,91,Experienced,2149,0,5629.05
Moderate,Medium,Low,89,Experienced,3475,0,13589.32
Moderate,Medium,High,74,Experienced,485,0,1402.13
Calm,Heavy,High,88,Experienced,3499,1,26078.18
Calm,Light,Low,91,Low,1533,0,5818.1
Rough,Medium,High,96,Experienced,1737,1,21706.05
Rough,Medium,High,97,Experienced,552,0,1519.79
Moderate,Light,Low,88,Low,318,0,1187.0
Calm,Medium,Low,99,Experienced,3059,0,11177.21
Calm,Light,Medium,84,Low,1459,0,4953.43
Moderate,Light,High,99,Experienced,522,0,1569.03
Rough,Light,High,85,Low,302,1,13931.29
Rough,Heavy,Low,93,Experienced,1559,0,4182.54
Moderate,Medium,Low,78,Low,1153,0,3764.12
Moderate,Heavy,Medium,73,Low,1788,1,17946.71
Calm,Medium,Medium,84,Experienced,527,0,1601.56
Calm,Medium,Low,94,Experienced,3260,0,10474.51
Rough,Medium,High,81,Experienced,1977,1,16930.64
Moderate,Medium,Medium,92,Low,798,0,2762.28
Calm,Light,High,72,Low,2868,1,23084.99
Calm,Medium,High,92,Experienced,3049,0,8372.19
Moderate,Light,Medium,83,Experienced,2185,0,6712.57
Calm,Medium,Medium,86,Low,3264,1,17607.38
Calm,Medium,Medium,88,Experienced,2315,0,7957.62
Moderate,Light,Low,75,Experienced,1462,0,5253.41
Moderate,Light,Medium,73,Experienced,1599,0,6232.69
Moderate,Heavy,Low,76,Experienced,2638,0,7698.5
Calm,Medium,Medium,99,Experienced,1376,0,5401.24
Moderate,Light,Low,88,Low,3481,0,9032.83
Calm,Heavy,Low,86,Low,1014,0,3452.18
Calm,Light,Low,94,Experienced,1247,0,3224.37
Moderate,Medium,Low,85,Experienced,2995,0,11502.78
Moderate,Heavy,Medium,84,Experienced,3375,1,23475.99
Moderate,Light,Medium,91,Experienced,3031,0,10620.69
Moderate,Light,Medium,77,Experienced,1169,0,4380.66
Moderate,Light,Low,88,Experienced,1370,0,3733.89
Calm,Medium,Low,77,Low,393,0,1005.25
Calm,Light,Low,87,Low,3287,0,12550.82
Calm,Medium,Low,97,Experienced,859,0,2553.29
Calm,Light,High,85,Experienced,2075,0,5588.95
Rough,Medium,Low,89,Low,2560,1,24478.16
Calm,Heavy,Low,88,Experienced,735,0,2497.13
Rough,Heavy,Low,79,Experienced,1151,0,2930.97
Moderate,Medium,Low,86,Experienced,2855,0,8314.74
